SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-21-2021,Single Family Residential,15 Neponset Ave,Boston,MA,02136,635000,4,2.0,Fairmount Hill,1680,9800,1895,88,378,,Sold,,,https://www.redfin.com/MA/Hyde-Park/15-Neponset-Ave-02136/home/9130493,MLS PIN,72917083,N,Y,42.2500675,-71.1206788
PAST SALE,January-20-2022,Townhouse,64 Harvard Ave #64,Boston,MA,02136,669900,3,2.5,Hyde Park,1711,,2020,58,392,215,Sold,,,https://www.redfin.com/MA/Boston/64-Harvard-Ave-02136/unit-64/home/174867517,MLS PIN,72808174,N,Y,42.2583428,-71.1225367
PAST SALE,January-14-2022,Townhouse,10 Dacy St #10,Boston,MA,02136,553000,3,3.0,Hyde Park,1703,2311,2004,64,325,250,Sold,,,https://www.redfin.com/MA/Boston/10-Dacy-St-02136/unit-10/home/177510698,MLS PIN,72925663,N,Y,42.2494623,-71.1279957
PAST SALE,January-14-2022,Condo/Co-op,11 Walley #201,Boston,MA,02128,735000,4,2.0,East Boston,1409,,2020,64,522,528,Sold,,,https://www.redfin.com/MA/Boston/11-Walley-St-02128/unit-201/home/175324759,MLS PIN,72847826,N,Y,42.3897025,-70.9986434
PAST SALE,February-28-2022,Townhouse,910 Saratoga St #9,Boston,MA,02128,675000,3,2.0,East Boston,1623,1623,1960,19,416,365,Sold,,,https://www.redfin.com/MA/Boston/910-Saratoga-St-02128/unit-9/home/21928330,MLS PIN,72939031,N,Y,42.3863265,-71.0113298
PAST SALE,February-28-2022,Vacant Land,0 Moseley St,Boston,MA,02125,285000,,,Dorchester's Savin Hill,,2342,,19,,,Sold,,,https://www.redfin.com/MA/DORCHESTER/MOSELEY-ST-02125/home/9063294,MLS PIN,72930938,N,Y,42.320967,-71.054229
PAST SALE,February-2-2022,Parking,404R - 6 K St,Boston,MA,02127,138250,,,South Boston,,500,,45,,65,Sold,,,https://www.redfin.com/MA/Boston/6-K-St-02127/home/176381255,MLS PIN,72895284,N,Y,42.3397072,-71.0374601
PAST SALE,February-28-2022,Single Family Residential,18 Bird St,Boston,MA,02125,590000,4,3.0,Dorchester's Uphams Corner,1446,3110,1930,19,408,,Sold,,,https://www.redfin.com/MA/Dorchester/18-Bird-St-02125/home/9068118,MLS PIN,72935363,N,Y,42.3144766,-71.0667925
PAST SALE,March-1-2022,Condo/Co-op,300 Boylston St #712,Boston,MA,02116,3800000,2,2.5,Back Bay,2394,,1988,18,1587,2797,Sold,,,https://www.redfin.com/MA/Boston/300-Boylston-St-02116/unit-712/home/9235902,MLS PIN,72708558,N,Y,42.3518065,-71.0698243
PAST SALE,,Condo/Co-op,4 Arlington St #3,Boston,MA,02116,5870000,3,3.5,,2632,,1915,,2230,,,,,https://www.redfin.com/MA/Boston/4-Arlington-St-02116/unit-3/home/9237683,,,N,Y,42.3548742,-71.0725289
PAST SALE,January-24-2022,Condo/Co-op,390 Commonwealth Ave #201,Boston,MA,02115,850000,2,2.0,Back Bay,1029,1029,1986,54,826,896,Sold,,,https://www.redfin.com/MA/Boston/390-Commonwealth-Ave-02215/unit-201/home/9239737,MLS PIN,72924217,N,Y,42.3486408,-71.0902592
